,Raptor up,,,,,,,Raptor down,,,,,,,Oncilla down,,,,,,,Oncilla up,,,,,,,,,,,
Call interval,GA,GD,GM,GP,GR,Mean,,GA,GD,GM,GP,GR,Mean,,GA,GD,GM,GP,GR,Mean,,GA,GD,GM,GP,GR,Mean,GB ,1st call interval,Raptor up,Raptor Down,Cat down,Cat up
 1-2,0.656,1.8079,1.585,0.8126,1.7822,1.32874,,1.2634,2.3956,4.9153,2.6055,3.0869,2.85334,,0.3887,0.615,1.2388,0.3869,1.2039,0.76666,,32.6553,5.136,5.9068,14.7902,1.4921,11.99608,3.0694,GA,0.656,1.2634,0.3887,32.6553
 2-3,1.1328,1.2191,1.0422,1.3689,3.1047,1.57354,,1.4083,1.365,3.3975,1.5441,2.3368,2.01034,,0.3172,0.7331,2.0396,1.2168,0.9174,1.04482,,1.548,0.5035,1.0993,0.5418,1.4149,1.0215,0.4654,GD,1.8079,2.3956,0.615,5.136
 3-4,0.8187,1.873,1.5137,0.9003,4.1343,1.848,,0.7163,6.6839,0.6727,1.0903,2.5373,2.3401,,0.4432,0.7273,0.4824,0.5492,1.345,0.70942,,1.415,0.7911,1.6346,0.5118,0.6668,1.00386,7.7776,GM,1.585,4.9153,1.2388,5.9068
 4-5,0.5713,2.4207,5.8519,1.4137,1.5108,2.35368,,3.0414,0.5047,0.736,1.7339,4.1408,2.03136,,0.4142,0.6397,0.5086,0.8311,0.9023,0.65918,,0.8993,0.6694,1.2119,2.149,0.5515,1.09622,3.5793,GP,0.8126,2.6055,0.3869,14.7902
 5-6,0.8726,10.3038,3.063,1.261,2.1485,3.52978,,3.3212,0.5118,0.3454,3.049,3.5433,2.15414,,0.7105,0.5939,1.3494,0.4516,0.6504,0.75116,,0.9436,1.353,1.2195,0.8055,1.2639,1.1171,1.2518,GR,1.7822,3.0869,1.2039,1.4921
 6-7,0.5431,4.3495,1.2548,1.1314,1.8259,1.82094,,2.3895,0.3696,0.7042,2.5516,2.6806,1.7391,,0.4925,1.4393,0.8211,0.3108,1.9011,0.99296,,0.5155,0.2157,3.0354,0.5915,1.3747,1.14656,3.6972,,,,,
 7-8,0.6974,1.6166,1.1463,0.6315,1.7778,1.17392,,4.3854,0.5282,0.615,1.0722,1.6034,1.64084,,0.3894,0.2546,1.3036,0.904,0.7876,0.72784,,0.2465,0.4345,0.7432,0.615,1.1969,0.64722,0.333,,,,,
 8-9,1.1467,11.0945,1.1056,0.8181,0.7733,2.98764,,3.8022,1.1592,1.0296,0.7592,3.655,2.08104,,0.3263,8.9026,0.3709,0.2908,0.2958,2.03728,,0.3531,0.402,0.5714,0.2302,0.5979,0.43092,4.7576,,,,,
 9-10,1.0675,4.0431,2.8081,1.4529,1.1794,2.1102,,2.2439,0.4452,0.9699,0.7225,4.4646,1.76922,,0.5745,0.9416,0.623,0.3715,0.5788,0.61788,,0.5189,0.1547,0.3446,0.4798,0.4291,0.38542,1.0057,,,,,
 10-11,0.9848,23.4753,30.828,1.5554,0.7581,11.52032,,2.707,0.4356,0.7099,0.9848,6.6562,2.2987,,0.4269,0.4828,0.5193,0.5867,0.8102,0.56518,,0.2263,0.2842,3.0336,0.6389,1.4959,1.13578,2.3796,,,,,
