Stimulus,Stimuli,Valid,Date,Time,Group,T dur min,T dur sec,Dur MIN,# calls/1st min,# individuals,Infant,calls/ind,,,,,,,,
Raptor canopy,1,Yes,9/25/2008,12:25,A,00:01:00,60,1,44,5,1,8.8,,,,,,,,
Raptor canopy,1,Yes,9/19/2008,15:00,D,00:02:04,399,6.65,10,3,0,3.333333333,,,,,,,,
Raptor canopy,1,Yes,9/14/2009,13:20,M,00:18:29,1109,18.48333333,20,4,0,5,,,,,,,,
Raptor canopy,1,Yes,11/11/2008,9:05,P,00:02:30,150,2.5,39,5,0,7.8,,,,,,,,
Raptor canopy,1,Yes,9/19/2008,8:50,R,00:03:24,204,3.4,41,5,0,8.2,,,,,,,,
Raptor ground,2,Yes,6/9/2010,13:00,A,00:01:17,77,1.283333333,27,6,0,4.5,,,,,,,,
Raptor ground,2,Yes,6/17/2011,10:56,D,0:01:30,90,1.5,67,3,0,22.33333333,,,,,,,,
Raptor ground,2,Yes,5/31/2010,11:50,M,00:23:14,1394,23.23333333,67,5,0,13.4,,,,,,,,
Raptor ground,2,Yes,5/13/2010,9:21,P,00:10:30,630,10.5,50,3,0,16.66666667,,,,,,,,
Raptor ground,2,Yes,5/19/2010,13:43,R,00:03:02,182,3.033333333,13,2,0,6.5,,,,,,,,
Oncilla ground,3,Yes,8/14/2009,12:29,A,00:48:03,2883,48.05,180,5,0,36,,,,,,,,
Oncilla ground,3,Yes,8/6/2009,13:11,D,00:26:22,1582,26.36666667,107,2,0,53.5,,,,,,,,
Oncilla ground,3,Yes,9/22/2009,14:51,M,00:33:51,2031,33.85,162,4,1,40.5,,,,,,,,
Oncilla ground,3,Yes,7/23/2009,13:21,P,01:08:54,4134,68.9,103,3,0,34.33333333,,,,,,,,
Oncilla ground,3,Yes,8/7/2009,13:29,R,00:59:21,3561,59.35,134,4,0,33.5,,,,,,,,
Oncilla canopy,4,Yes,5/29/2010,14:05,A,00:24:08,1448,24.13333333,55,6,0,9.166666667,,,,,,,,
Oncilla canopy,4,Yes,5/28/2010,10:30,D,00:48:06,2886,48.1,149,3,0,49.66666667,,,,,,,,
Oncilla canopy,4,Yes,7/14/2010,9:08,M,01:46:08,6368,106.1333333,98,5,0,19.6,,,,,,,,
Oncilla canopy,4,Yes,6/23/2010,12:40,P,00:24:00,1440,24,109,3,0,36.33333333,,,,,,,,
Oncilla canopy,4,Yes,6/17/2010,8:53,R,01:51:20,6680,111.3333333,72,2,0,36,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Raptor ground,2,No *,6/24/2010,9:50,D,00:00:01,1,0.016666667,1,3,0,0.333333333,,,,,,,,
Oncilla canopy,4,No*,7/1/2010,11:00,B/R,0:42:07,2527,42.11666667,26,4,0,6.5,,,,,,,,
